participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.movie_political_vibe,player.average_movie_vibe,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,drf0rgcy,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:22:07.459052,1,,,0.0,1,,0.0,4,5,1,1,xw98qnqc,,,,,1
1,drf0rgcy,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:22:07.459052,1,,,0.0,1,,0.0,3,4,1,2,xw98qnqc,,,,,1
1,drf0rgcy,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:22:07.459052,1,,,0.0,1,,0.0,2,3,1,3,xw98qnqc,,,,,1
1,drf0rgcy,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:22:07.459052,1,,,0.0,1,,0.0,3,4,1,4,xw98qnqc,,,,,1
1,drf0rgcy,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:22:07.459052,1,,,0.0,1,,0.0,5,5,1,5,xw98qnqc,,,,,1
1,drf0rgcy,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:22:07.459052,1,,,0.0,1,,0.0,2,2,1,6,xw98qnqc,,,,,1
1,drf0rgcy,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:22:07.459052,1,,,0.0,1,,0.0,2,3,1,7,xw98qnqc,,,,,1
1,drf0rgcy,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:22:07.459052,1,,,0.0,1,,0.0,3,4,1,8,xw98qnqc,,,,,1
1,drf0rgcy,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:22:07.459052,1,,,0.0,1,,0.0,4,4,1,9,xw98qnqc,,,,,1
1,drf0rgcy,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:22:07.459052,1,,,0.0,1,,0.0,5,5,1,10,xw98qnqc,,,,,1
1,drf0rgcy,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:22:07.459052,1,,,0.0,1,,0.0,3,5,1,11,xw98qnqc,,,,,1
1,drf0rgcy,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:22:07.459052,1,,,0.0,1,,0.0,2,3,1,12,xw98qnqc,,,,,1
1,drf0rgcy,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:22:07.459052,1,,,0.0,1,,0.0,4,2,1,13,xw98qnqc,,,,,1
1,drf0rgcy,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:22:07.459052,1,,,0.0,1,,0.0,4,5,1,14,xw98qnqc,,,,,1
1,drf0rgcy,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:22:07.459052,1,,,0.0,1,,0.0,3,3,1,15,xw98qnqc,,,,,1
1,drf0rgcy,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:22:07.459052,1,,,0.0,1,,0.0,3,3,1,16,xw98qnqc,,,,,1
2,ff1a8ye8,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:36:10.459052,1,,,0.0,1,,0.0,2,4,1,1,xw98qnqc,,,,,1
2,ff1a8ye8,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:36:10.459052,1,,,0.0,1,,0.0,2,4,1,2,xw98qnqc,,,,,1
2,ff1a8ye8,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:36:10.459052,1,,,0.0,1,,0.0,2,2,1,3,xw98qnqc,,,,,1
2,ff1a8ye8,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:36:10.459052,1,,,0.0,1,,0.0,2,3,1,4,xw98qnqc,,,,,1
2,ff1a8ye8,,0,54,53,post_experimental,FinalForProlific,2026-02-15 17:36:10.459052,1,,,0.0,1,,0.0,4,5,1,5,xw98qnqc,,,,,1
